1;Merlot;red;13.6;116715
2;Grenache;red;11.3;97171
3;Ugniblanc;white;9.7;83173
4;Syrah;red;8.1;69891
5;Carignan;red;6.9;59210
6;Cabernet Sauvignon;red;6.7;57913
7;Chardonnay;white;5.1;43887
8;Cabernet Franc;red;4.4;37508
9;Gamay;red;3.7;31771
10;Pinot noir;red;3.4;29576
11;Sauvignon blanc;white;3.0;26062
12;Cinsaut;red;2.6;22239
13;Melon de Bourgogne;white;1.4;12483
14;Sémillon;white;1.4;11864
15;Pinot Meunier;red;1.3;11335
16;Chenin blanc;white;1.1;9756
17;Mourvèdre;red;1.1;9494
18;Colombard;white;0.9;7710
19;Muscat Blanc à Petits Grains;white;0.9;7634
20;Malbec;red;0.8;6291
21;Alicante Bouschet;red;0.7;5680
22;Grenache blanc;white;0.6;5097
23;Viognier;white;0.5;4111
24;Muscat de Hambourg;red;0.4;3605
25;Riesling;white;0.4;3480
26;Vermentino;white;0.4;3453
27;Aramon;red;0.4;3304
28;Gewurztraminer;pink;0.4;3040
29;Tannat;red;0.3;3001
30;Gros Manseng;white;0.3;2877
31;Macabeu;white;0.3;2778
32;Muscat d'Alexandrie;white;0.3;2679
33;Pinot gris;grey;0.3;2582
34;Clairette;white;0.3;2505
35;Caladoc;red;0.3;2449
36;Grolleau;red;0.3;2363
37;Auxerrois blanc;white;0.3;2330
38;Marselan;red;0.3;2255
39;Mauzac;white;0.2;2077
40;Aligoté;white;0.2;1946
41;Folle blanche;white;0.2;1848
42;Grenache gris;grey;0.2;1756
43;Chasselas;white;0.2;1676
44;Nielluccio;red;0.2;1647
45;Fer;red;0.2;1634
46;Muscadelle;white;0.2;1618
47;Terret blanc;white;0.2;1586
48;Sylvaner;white;0.2;1447
49;Piquepoul blanc;white;0.2;1426
50;Villard noir;red;0.2;1399
51;Marsanne;white;0.2;1326
52;Négrette;red;0.2;1319
53;Roussanne;white;0.2;1307
54;Pinot blanc;white;0.2;1304
55;Plantet;white;0.1;1170
56;Jacquère;white;0.1;1052
